epoch,accuracy,loss,val_accuracy,val_loss
0,0.0015625,6.1763856734548295,0.0020833334,6.1734125023796445
1,0.0011532739,6.174149659701756,0.003125,6.168749366487775
2,0.0023065477,6.1676749201047985,0.004166667,6.157653415770758
3,0.0032366072,6.157233435199374,0.0038690476,6.144404327301752
4,0.0035714286,6.144931592260089,0.0046130954,6.129790982745942
5,0.0039434526,6.133205812885648,0.0055059525,6.115916472389585
6,0.0035342262,6.1242667538779125,0.0046130954,6.104696096692766
7,0.0034970238,6.115647539638338,0.0052083335,6.093016143072219
8,0.003720238,6.1080417712529504,0.0038690476,6.084105818612235
9,0.004092262,6.103122329711914,0.004166667,6.078865818750291
